CityID,City,Country
1,Melbourne,Australia
2,Kuala Lumpur,Malaysia
3,Sakhir,Bahrain
4,Montmelo,Spain
5,Istanbul,Turkey
6,Monte-Carlo,Monaco
7,Montreal,Canada
8,Magny Cours,France
9,Silverstone,UK
10,Hockenheim,Germany
11,Budapest,Hungary
12,Valencia,Spain
13,Spa,Belgium
14,Monza,Italy
15,Marina Bay,Singapore
16,Oyama,Japan
17,Shanghai,China
18,Sao Paulo,Brazil
19,Indianapolis,USA
20,Nurburg,Germany
21,Imola,Italy
22,Suzuka,Japan
23,Las Vegas,United States
24,Abu Dhabi,UAE
25,Buenos Aires,Argentina
26,Jerez de la Frontera,Spain
27,Estoril,Portugal
28,Okayama,Japan
29,Adelaide,Australia
30,Midrand,South Africa
31,Castle Donington,UK
32,Mexico City,Mexico
33,Phoenix,USA
34,Le Castellet,France
35,Yeongam County,Korea
36,Rio de Janeiro,Brazil
37,Detroit,USA
38,Kent,UK
39,Zandvoort,Netherlands
40,Heusden-Zolder,Belgium
41,Dijon,France
42,Dallas,USA
43,California,USA
44,Nevada,USA
45,Madrid,Spain
46,New York State,USA
47,Anderstorp,Sweden
48,Ontario,Canada
49,Barcelona,Spain
50,Brussels,Belgium
51,Clermont-Ferrand,France
52,Quebec,Canada
53,Rouen,France
54,Le Mans,France
55,Reims,France
56,Eastern Cape Province,South Africa
57,Styria,Austria
58,Liverpool,UK
59,Oporto,Portugal
60,California,USA
61,Berlin,Germany
62,Lisbon,Portugal
63,Florida,USA
64,Casablanca,Morocco
65,Pescara,Italy
66,Bern,Switzerland
67,Barcelona,Spain
68,Uttar Pradesh,India
69,Austin,USA
70,Spielberg,Austria
71,Sochi,Russia
72,Baku,Azerbaijan
73,Portimao,Portugal
74,Mugello,Italy
75,Jeddah,Saudi Arabia
76,Al Daayen,Qatar
77,Miami,USA
