constructorID,driverID
1,1
2,2
3,3
4,4
1,5
3,6
5,7
6,8
2,9
7,10
8,11
4,12
6,13
9,14
7,15
10,16
9,17
11,18
8,19
5,20
10,21
11,22
1,4
4,21
7,23
4,5
5,24
12,16
3,25
5,26
12,27
2,20
12,28
12,29
6,30
1,8
1,31
3,17
9,32
13,33
8,34
2,35
13,27
8,36
1,37
8,29
14,27
14,33
9,38
6,22
15,13
16,18
15,35
16,11
17,39
17,33
18,40
3,2
18,27
16,19
1,25
9,24
7,41
18,38
3,42
3,23
3,31
4,15
1,14
15,21
19,32
7,43
7,44
17,45
17,2
18,46
19,17
18,47
17,10
3,48
4,35
15,49
16,35
18,50
17,21
19,42
15,2
18,51
17,52
18,53
19,51
17,47
19,56
18,17
7,63
18,62
19,37
21,49
21,59
17,11
4,18
16,44
7,66
18,19
17,49
15,8
19,54
20,55
21,50
18,4
22,21
22,18
17,15
1,57
18,58
20,60
20,54
17,41
17,55
20,49
20,61
16,41
22,25
18,48
20,2
15,63
3,18
15,64
18,60
21,37
19,65
6,56
24,22
21,68
18,69
20,15
20,44
3,70
17,71
15,55
24,65
18,72
16,63
6,63
3,49
3,35
15,65
25,73
21,63
18,74
18,75
21,64
17,23
24,76
25,68
24,50
22,77
15,78
20,75
18,15
25,63
22,55
18,79
25,50
21,71
26,80
26,73
15,81
15,82
3,71
27,44
29,73
27,64
25,79
18,83
18,21
17,22
29,50
17,84
28,69
28,85
18,86
22,30
3,14
6,77
6,55
1,87
27,88
30,85
28,64
29,81
29,89
28,90
15,91
22,65
30,92
31,50
17,56
31,93
18,94
1,95
27,84
15,96
29,97
30,86
30,98
25,99
1,76
32,65
33,100
32,83
31,101
3,102
1,84
22,50
27,103
25,87
29,104
18,105
33,106
31,107
30,108
17,88
6,78
17,110
22,109
32,70
31,85
15,110
31,111
3,95
1,112
32,113
33,112
33,114
27,65
32,103
33,115
32,63
27,116
31,89
15,109
33,98
3,117
1,102
27,87
18,104
29,118
26,105
22,119
18,120
29,88
26,69
1,121
17,122
25,110
17,123
17,124
17,125
33,126
18,111
3,119
1,77
27,100
32,57
29,105
17,127
33,79
34,128
25,129
27,123
35,94
18,81
35,109
6,122
36,99
37,91
33,92
22,84
37,108
36,130
17,131
34,132
34,71
38,90
38,135
18,70
36,128
37,125
37,136
6,117
22,137
25,131
25,138
33,88
40,78
39,99
17,92
34,84
22,90
41,122
41,127
34,87
35,139
33,103
29,133
39,140
32,141
42,142
36,129
40,128
26,103
26,88
39,120
29,140
32,143
17,30
17,90
17,70
39,129
41,91
42,144
6,81
18,90
25,55
3,123
34,131
21,105
22,145
21,146
44,90
18,147
6,95
34,148
45,129
35,110
32,118
27,78
32,151
27,112
46,140
35,81
46,109
39,114
44,149
47,150
42,92
21,133
46,148
34,101
47,152
23,18
23,22
5,67
9,20
5,153
4,154
6,69
6,21
10,24
7,155
1,117
37,127
21,118
25,156
32,138
27,129
25,105
48,157
21,158
49,146
37,122
32,137
45,78
18,159
27,163
44,148
42,90
35,133
45,160
48,161
42,162
39,164
49,88
46,92
22,139
21,151
33,105
25,65
48,162
42,134
44,165
48,148
48,92
6,105
22,123
27,140
48,110
42,99
39,166
44,131
18,167
25,141
49,160
3,84
3,168
33,162
3,137
1,140
49,157
25,166
39,169
32,102
34,119
34,110
45,133
18,145
49,84
22,170
45,99
27,160
45,171
42,78
39,90
27,172
25,84
34,173
32,174
21,123
45,157
6,140
26,175
49,156
21,176
18,110
1,177
26,178
49,179
34,118
21,157
26,158
45,180
39,122
32,173
6,163
4,175
25,140
50,112
4,118
50,181
21,77
51,158
1,182
27,110
51,119
3,177
34,183
52,184
34,137
25,185
53,170
34,176
45,179
4,183
50,186
53,160
27,166
1,187
25,122
50,156
32,95
34,170
27,183
53,188
3,172
53,102
54,181
45,189
34,190
52,179
50,191
25,191
54,77
53,140
53,94
34,181
4,166
6,175
4,117
53,118
21,192
25,193
55,188
50,194
55,195
4,158
27,196
51,184
27,197
45,190
53,152
51,110
21,178
50,168
50,198
52,140
3,156
3,199
4,163
54,194
51,152
37,200
55,206
37,196
25,201
56,192
6,202
27,158
6,203
45,197
21,184
45,204
21,205
57,195
3,207
25,205
3,206
55,136
37,208
55,209
32,90
32,209
55,210
37,211
6,207
3,178
51,207
25,158
55,175
57,176
34,212
56,177
54,136
21,119
45,213
1,110
25,214
37,206
45,215
21,216
37,194
25,217
45,194
57,218
27,219
54,201
53,205
57,194
45,220
55,176
27,175
21,198
25,206
34,217
