driverID,constructorID
1,1
2,2
3,3
4,4
5,1
6,3
7,5
8,6
9,2
10,7
11,8
12,4
13,6
14,9
15,7
16,10
17,9
18,11
19,8
20,5
21,10
22,11
8,6
9,2
5,1
15,7
17,9
4,4
14,9
18,11
12,4
21,10
22,11
3,3
19,8
11,8
6,3
20,5
13,6
16,10
10,7
7,5
13,6
8,6
9,2
5,1
15,7
17,9
3,3
10,7
4,4
22,11
21,10
6,3
7,5
19,8
11,8
14,9
16,10
12,4
18,11
20,5
8,6
13,6
9,2
17,9
18,11
6,3
15,7
21,10
10,7
14,9
11,8
3,3
4,4
22,11
5,1
19,8
7,5
12,4
16,10
20,5
13,6
8,6
9,2
4,4
17,9
3,3
14,9
15,7
18,11
5,1
10,7
22,11
12,4
16,10
20,5
7,5
6,3
21,10
9,2
13,6
17,9
20,5
22,11
6,3
5,1
8,6
4,4
18,11
10,7
15,7
16,10
3,3
12,4
21,10
14,9
7,5
9,2
14,9
10,7
13,6
15,7
22,11
20,5
5,1
3,3
18,11
17,9
7,5
21,10
6,3
4,4
12,4
8,6
16,10
13,6
8,6
15,7
5,1
9,2
17,9
12,4
4,4
14,9
10,7
20,5
22,11
6,3
3,3
7,5
21,10
16,10
18,11
22,11
8,6
5,1
4,4
15,7
6,3
3,3
17,9
7,5
10,7
13,6
9,2
18,11
12,4
21,10
16,10
20,5
14,9
12,4
13,6
5,1
8,6
9,2
20,5
15,7
3,3
4,4
7,5
14,9
6,3
16,10
21,10
18,11
22,11
17,9
10,7
5,1
10,7
8,6
4,4
12,4
15,7
9,2
17,9
14,9
18,11
6,3
3,3
21,10
22,11
13,6
7,5
16,10
20,5
13,6
9,2
5,1
15,7
20,5
10,7
3,3
7,5
12,4
17,9
18,11
21,10
6,3
22,11
14,9
8,6
16,10
4,4
13,6
4,4
20,5
9,2
7,5
17,9
10,7
5,1
14,9
3,3
16,10
6,3
18,11
15,7
21,10
8,6
22,11
12,4
20,5
5,1
9,2
4,4
13,6
17,9
8,6
12,4
10,7
6,3
15,7
3,3
18,11
14,9
22,11
7,5
16,10
21,10
4,4
3,3
10,7
20,5
14,9
6,3
18,11
5,1
9,2
7,5
13,6
21,10
8,6
15,7
16,10
17,9
22,11
12,4
4,4
9,2
8,6
12,4
15,7
20,5
13,6
17,9
7,5
3,3
22,11
18,11
6,3
21,10
5,1
16,10
10,7
14,9
13,6
8,6
4,4
9,2
10,7
12,4
20,5
14,9
22,11
6,3
7,5
17,9
3,3
18,11
21,10
5,1
16,10
15,7
13,6
4,4
8,6
20,5
10,7
5,1
15,7
17,9
9,2
3,3
18,11
7,5
22,11
16,10
6,3
21,10
12,4
14,9
8,6
4,1
21,4
13,6
3,3
23,7
15,7
5,4
22,11
11,8
17,9
24,5
18,11
19,8
16,12
25,3
14,9
9,2
26,5
27,12
4,1
8,6
13,6
21,4
15,7
5,4
25,3
17,9
22,11
18,11
11,8
26,5
23,7
19,8
24,5
9,2
3,3
14,9
27,12
16,12
13,6
8,6
4,1
9,2
15,7
21,4
5,4
3,3
25,3
23,7
22,11
27,12
16,12
19,8
17,9
14,9
11,8
24,5
18,11
26,5
13,6
4,1
9,2
14,9
3,3
5,4
11,8
21,4
22,11
19,8
18,11
16,12
27,12
23,7
24,5
26,5
8,6
15,7
17,9
25,3
4,1
13,6
21,4
9,2
25,3
8,6
26,5
22,11
18,11
3,3
5,4
14,9
15,7
23,7
11,8
19,8
27,12
16,12
17,9
24,5
25,3
5,4
8,6
11,8
4,1
23,7
17,9
3,3
19,8
22,11
15,7
24,5
27,12
14,9
9,2
16,12
26,5
18,11
13,6
21,4
4,1
13,6
8,6
5,4
15,7
17,9
20,2
21,4
25,3
19,8
18,11
26,5
16,12
27,12
3,3
24,5
11,8
14,9
22,11
23,7
8,6
13,6
9,2
21,4
4,1
18,11
3,3
23,7
22,11
17,9
14,9
25,3
5,4
11,8
16,12
26,5
27,12
19,8
15,7
24,5
8,6
4,1
9,2
13,6
5,4
21,4
22,11
18,11
14,9
3,3
25,3
11,8
27,12
24,5
15,7
19,8
26,5
23,7
16,12
17,9
4,1
13,6
17,9
25,3
14,9
9,2
5,4
21,4
22,11
19,8
15,7
8,6
11,8
23,7
28,12
18,11
16,12
3,3
26,5
24,5
8,6
4,1
9,2
23,7
3,3
5,4
17,9
15,7
14,9
21,4
13,6
25,3
11,8
20,5
16,12
22,11
24,5
19,8
18,11
29,12
13,6
8,6
4,1
5,4
3,3
9,2
21,4
14,9
25,3
23,7
